trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.1, 'e': 0.3277227574378037}",20,0,8.447946806707195,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.1, 'e': 0.3244455298634257}",25,8,26.36500199709809,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.1, 'e': 0.3212010745647914}",30,16,-24.188271893125155,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.1, 'e': 0.3179890638191435}",25,17,12.642627162743443,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.1, 'e': 0.31480917318095203}",25,6,-40.838031497020886,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.3116610814491425}",20,3,-25.819200659729596,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.1, 'e': 0.30854447063465107}",30,16,9.639685646838052,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.30545902592830454}",25,5,31.982150196354855,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.1, 'e': 0.3024044356690215}",20,0,-49.27474704404372,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
120,False,"{'a': 0.1, 'e': 0.29938039131233124}",25,8,23.37505811471043,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.1, 'e': 0.2963865873992079}",20,5,21.720994867270125,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.1, 'e': 0.29342272152521587}",20,12,13.146515969628924,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.1, 'e': 0.2904884943099637}",25,0,-68.3369287852173,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
124,False,"{'a': 0.1, 'e': 0.28758360936686406}",20,0,-4.218606901409542,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.1, 'e': 0.2847077732731954}",25,16,15.823191364941614,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.1, 'e': 0.28186069554046345}",25,6,24.9042302628076,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.1, 'e': 0.2790420885850588}",30,13,-3.7912262826694416,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.2762516676992082}",30,19,11.436507081158037,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.1, 'e': 0.27348915102221616}",20,0,-19.14683593789283,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
130,False,"{'a': 0.1, 'e': 0.270754259511994}",20,13,9.78686608822299,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.1, 'e': 0.26804671691687404}",30,15,15.281837714381314,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.2653662497477053}",20,12,14.093744836000052,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1, 'e': 0.2627125872502282}",20,16,7.783774718892617,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.2600854613777259}",30,24,12.49903253924705,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.1, 'e': 0.2574846067639487}",20,8,18.37846875942521,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1, 'e': 0.2549097606963092}",25,19,8.450798593124832,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.1, 'e': 0.2523606630893461}",25,12,-3.0856702641139666,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.24983705645845267}",25,7,-33.63588497866644,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
139,False,"{'a': 0.1, 'e': 0.24733868589386815}",30,19,-0.041628750019311545,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.24486529903492946}",20,14,3.309027621364365,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.24241664604458016}",25,8,9.341213422360129,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.1, 'e': 0.23999247958413436}",20,16,8.976841364597924,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.23759255478829303}",30,19,-29.289702624350184,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.2352166292404101}",25,8,15.577709203202788,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.232864462948006}",20,0,16.653277045481428,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.1, 'e': 0.23053581831852593}",25,0,3.1525840811659487,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
147,False,"{'a': 0.1, 'e': 0.22823046013534068}",35,25,16.716625527802176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.1, 'e': 0.22594815553398728}",20,0,-1.9673264013000566,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
149,False,"{'a': 0.1, 'e': 0.22368867397864742}",30,16,27.283489328986317,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.1, 'e': 0.22145178723886094}",35,19,16.216229880255273,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.1, 'e': 0.21923726936647234}",25,0,-16.944820335886828,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
152,False,"{'a': 0.1, 'e': 0.2170448966728076}",25,0,42.40147598867529,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.1, 'e': 0.21487444770607952}",35,21,28.013947856839707,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1, 'e': 0.21272570322901874}",20,5,18.190898706801953,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.1, 'e': 0.21059844619672854}",20,3,17.397476092308473,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.1, 'e': 0.20849246173476127}",20,0,-3.625852719214074,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
157,False,"{'a': 0.1, 'e': 0.20640753711741366}",30,15,25.25807603267593,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.1, 'e': 0.20434346174623952}",20,13,6.07912848193685,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.1, 'e': 0.20230002712877712}",30,12,-30.002403889252303,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
160,False,"{'a': 0.1, 'e': 0.20027702685748935}",30,16,26.79951545816493,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.1, 'e': 0.19827425658891445}",30,12,23.929347911625275,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.1, 'e': 0.1962915140230253}",20,5,17.107658147146438,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.1, 'e': 0.19432859888279505}",30,20,-3.2739540126795417,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.1, 'e': 0.1923853128939671}",20,8,21.650383039309865,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.19046145976502743}",30,10,22.601656144863284,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.1, 'e': 0.18855684516737714}",20,0,-9.88353677660905,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
167,False,"{'a': 0.1, 'e': 0.18667127671570335}",30,12,11.73505834954699,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.1, 'e': 0.18480456394854633}",20,0,-16.54923170134771,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
169,False,"{'a': 0.1, 'e': 0.18295651830906087}",20,14,12.12659395628101,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.1, 'e': 0.18112695312597027}",20,11,-34.199132708320356,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
171,False,"{'a': 0.1, 'e': 0.17931568359471056}",20,2,-16.551400093092187,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.1, 'e': 0.17752252675876345}",25,15,10.494192656340331,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.1, 'e': 0.17574730149117582}",20,12,14.357481152254548,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.1, 'e': 0.17398982847626407}",25,8,-19.75189774353246,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
175,False,"{'a': 0.1, 'e': 0.17224993019150142}",20,8,9.29541671374104,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.1, 'e': 0.1705274308895864}",20,12,-6.075868258046891,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.1, 'e': 0.16882215658069055}",35,12,39.226061068085954,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.16713393501488363}",20,8,22.654296571425064,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.1, 'e': 0.16546259566473479}",25,14,23.36479877575833,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.1, 'e': 0.16380796970808745}",25,7,31.405060787016968,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.1, 'e': 0.16216989001100657}",30,16,26.848044405133983,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.1, 'e': 0.1605481911108965}",25,7,30.746161040843493,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.1, 'e': 0.15894270919978754}",20,11,-25.901282327402793,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
184,False,"{'a': 0.1, 'e': 0.15735328210778965}",25,19,8.584494857811851,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.1, 'e': 0.15577974928671176}",25,7,34.424323947383655,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.1, 'e': 0.15422195179384465}",25,13,10.837382107515989,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.1, 'e': 0.1526797322759062}",30,13,26.890515872667915,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.1, 'e': 0.15115293495314713}",35,7,7.754560601906922,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
189,False,"{'a': 0.1, 'e': 0.14964140560361566}",25,8,-30.853167817052267,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
190,False,"{'a': 0.1, 'e': 0.1481449915475795}",20,15,13.034786079712926,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.1, 'e': 0.1466635416321037}",20,14,4.569967250061103,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.1, 'e': 0.14519690621578268}",20,2,18.431585315755154,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.1, 'e': 0.14374493715362485}",30,12,14.16134329721691,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.1, 'e': 0.1423074877820886}",20,3,18.0674230072456,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.1, 'e': 0.1408844129042677}",20,10,19.581509893858243,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.1, 'e': 0.13947556877522502}",20,0,-11.917902596283112,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
197,False,"{'a': 0.1, 'e': 0.13808081308747278}",25,9,14.37023063942799,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.1, 'e': 0.13670000495659804}",20,8,19.483885623021358,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.1, 'e': 0.13533300490703207}",20,6,24.317004691170673,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.1, 'e': 0.13397967485796175}",20,6,19.44465343299616,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.1, 'e': 0.13263987810938213}",20,3,-25.272038575170836,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
202,False,"{'a': 0.1, 'e': 0.1313134793282883}",20,16,7.875820097002851,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.1, 'e': 0.13000034453500542}",20,7,8.436030934923945,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.1, 'e': 0.12870034108965536}",25,8,0.9935751709253968,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
205,False,"{'a': 0.1, 'e': 0.12741333767875881}",30,8,26.376161164844937,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.1, 'e': 0.12613920430197123}",20,10,8.435994579068431,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.1, 'e': 0.12487781225895152}",20,13,12.915295873773351,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.1, 'e': 0.123629034136362}",20,11,15.980124526135823,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.1, 'e': 0.12239274379499838}",25,8,28.60338796472113,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.1, 'e': 0.1211688163570484}",25,7,11.009904425121489,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.1, 'e': 0.11995712819347792}",25,8,12.078168684205451,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.1, 'e': 0.11875755691154315}",30,17,25.63235460210017,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.1, 'e': 0.11756998134242772}",25,14,18.401193139233758,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.1, 'e': 0.11639428152900344}",25,19,11.698189036304752,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.1, 'e': 0.11523033871371341}",20,8,-3.516236284167519,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
216,False,"{'a': 0.1, 'e': 0.11407803532657627}",25,7,15.661945859951897,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.1, 'e': 0.11293725497331052}",20,9,20.96310903415153,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.1, 'e': 0.1118078824235774}",20,14,8.902247316120604,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.1, 'e': 0.11068980359934164}",25,13,17.526478989326982,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.1, 'e': 0.10958290556334822}",20,10,16.639279797917037,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.1, 'e': 0.10848707650771475}",25,11,-0.8393566680607234,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
222,False,"{'a': 0.1, 'e': 0.1074022057426376}",25,18,12.812970674331183,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.1, 'e': 0.10632818368521123}",25,13,24.809096326850078,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.1, 'e': 0.10526490184835911}",20,14,11.292308061148626,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.1, 'e': 0.10421225282987552}",20,13,1.943809492647934,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.1, 'e': 0.10317013030157676}",20,8,-25.16301818668038,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
227,False,"{'a': 0.1, 'e': 0.10213842899856099}",35,24,21.344295801502668,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.1, 'e': 0.10111704470857538}",20,14,10.624852288088704,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.1, 'e': 0.10010587426148963}",20,5,10.575404784973049,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
230,False,"{'a': 0.1, 'e': 0.09910481551887473}",35,22,-2.20438432357584,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
231,False,"{'a': 0.1, 'e': 0.09811376736368599}",25,16,7.016511647647487,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.1, 'e': 0.09713262969004913}",30,1,23.6597281607638,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.1, 'e': 0.09616130339314863}",30,15,16.567092299066584,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
234,False,"{'a': 0.1, 'e': 0.09519969035921715}",25,7,26.528187812640006,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.1, 'e': 0.09424769345562498}",20,13,14.010245551197306,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.1, 'e': 0.09330521652106873}",20,5,15.12190158769423,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.1, 'e': 0.09237216435585804}",20,3,23.01024244214183,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.1, 'e': 0.09144844271229946}",25,19,11.14724885629172,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.1, 'e': 0.09053395828517646}",35,12,46.2513546618574,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.1, 'e': 0.08962861870232469}",20,12,6.80234094808316,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.1, 'e': 0.08873233251530144}",20,7,8.11455453308825,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.1, 'e': 0.08784500919014843}",20,9,7.601754678783454,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.1, 'e': 0.08696655909824694}",25,1,28.018673478822738,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
244,False,"{'a': 0.1, 'e': 0.08609689350726446}",25,3,-12.160091137532222,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
245,False,"{'a': 0.1, 'e': 0.08523592457219181}",20,14,9.446904022954001,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.1, 'e': 0.0843835653264699}",35,22,22.611117063809992,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.1, 'e': 0.0835397296732052}",20,12,10.414525588256993,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.1, 'e': 0.08270433237647315}",20,6,24.23906171863879,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.1, 'e': 0.08187728905270841}",25,18,7.695027865569206,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.1, 'e': 0.08105851616218133}",25,18,13.60109200888934,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.1, 'e': 0.08024793100055952}",35,25,20.07599857178397,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.1, 'e': 0.07944545169055392}",20,13,9.74951151347527,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.1, 'e': 0.07865099717364837}",20,5,-16.16230901203651,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
254,False,"{'a': 0.1, 'e': 0.07786448720191189}",25,8,33.32378557616526,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.1, 'e': 0.07708584232989277}",30,14,2.3192437875062826,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.1, 'e': 0.07631498390659384}",25,20,7.463389265114047,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.1, 'e': 0.07555183406752791}",20,6,8.414244622317378,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
258,False,"{'a': 0.1, 'e': 0.07479631572685264}",20,4,11.75169762133065,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
259,False,"{'a': 0.1, 'e': 0.07404835256958411}",25,17,17.42419376204405,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.1, 'e': 0.07330786904388827}",20,16,7.859346168402135,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.1, 'e': 0.07257479035344938}",30,10,32.22586993665678,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.1, 'e': 0.07184904244991488}",20,7,19.426523250984562,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.1, 'e': 0.07113055202541574}",30,21,18.64935982185955,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.1, 'e': 0.07041924650516158}",25,14,18.85938706562971,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.1, 'e': 0.06971505404010997}",20,10,17.725251644370747,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.1, 'e': 0.06901790349970886}",20,15,-30.64321672964285,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
267,False,"{'a': 0.1, 'e': 0.06832772446471178}",30,15,-14.488870006973679,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
268,False,"{'a': 0.1, 'e': 0.06764444722006466}",35,23,24.19616073163711,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.1, 'e': 0.066968002747864}",25,15,9.602132943484365,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.1, 'e': 0.06629832272038537}",20,16,10.021271014683725,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.1, 'e': 0.06563533949318151}",35,21,15.834533975282842,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
272,False,"{'a': 0.1, 'e': 0.06497898609824969}",20,12,17.30024988748372,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.1, 'e': 0.0643291962372672}",25,9,33.43438079833217,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.1, 'e': 0.06368590427489453}",30,0,38.856662740729526,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
275,False,"{'a': 0.1, 'e': 0.06304904523214558}",25,20,8.464438828679492,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.1, 'e': 0.06241855477982412}",20,5,30.107896546010316,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.1, 'e': 0.06179436923202588}",30,8,30.86095586768499,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.1, 'e': 0.06117642553970562}",35,23,20.97671469302776,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.1, 'e': 0.06056466128430856}",25,14,9.772636081942267,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
280,False,"{'a': 0.1, 'e': 0.05995901467146548}",20,0,31.66414965587699,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
281,False,"{'a': 0.1, 'e': 0.05935942452475082}",35,17,25.129428722905544,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
282,False,"{'a': 0.1, 'e': 0.058765830279503314}",25,13,20.99455539941013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.1, 'e': 0.05817817197670828}",20,5,26.000309454898627,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.1, 'e': 0.057596390256941195}",20,0,36.84420519243743,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.1, 'e': 0.05702042635437178}",20,10,15.947204450186277,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.1, 'e': 0.05645022209082806}",25,16,18.733277030824066,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.1, 'e': 0.05588571986991978}",20,10,16.830981526903493,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.1, 'e': 0.055326862671220584}",25,14,15.803164497707279,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.1, 'e': 0.05477359404450838}",20,8,21.769437998527565,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.1, 'e': 0.054225858104063294}",25,18,12.094130645259906,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.1, 'e': 0.05368359952302266}",30,13,33.402550125736,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.1, 'e': 0.053146763527792434}",35,14,-19.642368284002416,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
293,False,"{'a': 0.1, 'e': 0.052615295892514506}",25,9,32.242776186236426,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.1, 'e': 0.052089142933589364}",20,14,10.781783581518264,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.1, 'e': 0.05156825150425347}",30,16,24.307232256683434,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
